,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
401,2021-04-25, Sales Assistant,"Former Employee, more than 3 years","Washington, North East England, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,No progression,"Hourly pay rate, double time on bank holidays. Colleagues.","Lack of progression opportunities. Unsociable hours. No family life as always working weekend late shifts. The new efficiency way of working means management constantly cutting hours so barely able
To work past 30 hours a week. Internal politics. Lazy backstabbing management. Petty playground like attitude amongst management. No regard to mental health, although they pretend they care about this issue they do not help support people
Suffering. Always understaffed so staff working like slaves. No staff discount. No bonus scheme unless your management on prod bonus.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
403,2021-04-25, Store Assistant,"Current Employee, more than 3 years","Stoke-on-Trent, England, England",1,1.0,1.0,2.0,1.0,2.0,1.0,x,x,x,heavy workload,"keeps you fit, you will never stop and managers won't let you slow down","you are just the number with no opinion, need to be able to meet all targets set by your manager otherwise you are punished with a warning
there is no progression prospects, if you started as a store assistant, you will stay as a store assistant. If you wanna be a manager you have to be recruited as a manager. e.g. become a manager at Asda, then apply to be a manager in Aldi. This is the only way. You have no say when to work and to have a day off and you have to be flexible 24/7",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
405,2021-04-26, Assistant Store Manager,Current Employee,"Solihull, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,r,v,Champions of people,"Excellent challenges
Attractive Salary
Brilliant support network
Amazing business structure","Poor loyalty/long service rewards
Behind the times digitally and technologically",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
407,2021-04-26, Customer Store Assistant,"Former Employee, more than 1 year","Plymouth, England, England",2,2.0,2.0,5.0,1.0,1.0,1.0,x,r,x,STUDENTS BEWARE,Good Pay & Extra Shifts,"Flexibility, poor management, not student-friendly, culture",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
409,2021-04-27, Aldi Store Assistant,"Former Employee, more than 3 years","Congleton, England, England",4,3.0,4.0,4.0,4.0,4.0,4.0,v,r,r,Good Rate of Pay At The Time - But You Earned It !!,"Friendly Colleagues 
Always Busy Shifts
Management Approachable and accomodated needs","Some targets came at the expense of customer relations/experience
Monotonous Tasks",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
411,2021-04-27, Store Assistant,Current Employee,"Chorley, England, England",3,2.0,3.0,3.0,2.0,3.0,3.0,v,r,v,Mixed bag. Dependant on your supervisors/manager,"Well paid(ish), time goes fast on shift, dealing with friendly customers","Can expect too much at times, will try to work you like a dog if they can get away with it. I dropped to 25 hours to avoid the workplace politics.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
413,2021-04-27, Store Assistant,"Former Employee, more than 1 year","London, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great working place,Great pay compared to competitors and great place to work regarding team work,"Sometimes Physically demanding, and busy store",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
415,2021-04-27, Unemployed,Current Employee,"Melton Mowbray, England, England",2,1.0,1.0,5.0,3.0,3.0,1.0,x,r,r,find elsewhere,people I work with in aldi,hours are not great and change alot,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
417,2021-04-28, Sales Assistant,Current Employee,Mumbai,3,2.0,3.0,4.0,2.0,3.0,2.0,x,r,r,"Good for some, not for others","Flexible hours
Good atmosphere sometimes
If working in college, pay is worth it","Bad management sometimes
Pay not worth it",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
419,2021-04-30, Store Assistant,"Former Employee, less than 1 year",New Delhi,1,1.0,2.0,2.0,1.0,2.0,1.0,o,o,o,Aldi doesn’t pay their employees,"High pay rate per hour, great people on a store level",They pay well per hour but you need to be always alert to ensure you get paid what you worked. Even with a clock in/out system hours go missing from your payslip. Terrible! Don’t really care about their staff. Area managers look at you from above thinking they are superior than store staff.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
421,2021-05-01, Assistant Manager,"Current Employee, more than 5 years","Glasgow, Scotland, Scotland",4,2.0,4.0,5.0,5.0,3.0,5.0,o,o,o,Not bad,"Good pay, everyday is different, well structured management team.",Long days and hours. Stressful at times,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
423,2021-05-01, Deputy Manager,Current Employee,"London, England, England",5,1.0,5.0,5.0,5.0,5.0,1.0,o,o,o,Pro,Salary work work work work,Long hours work work work,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
425,2021-05-02, Buying Manager,Current Employee,"Nottingham, England, England",1,1.0,1.0,1.0,1.0,5.0,1.0,x,r,r,Toxic Environment,The salary is the only positive,Toxic environment with an overwhelming stench of a bullying culture. Limited experience within the business but due to the salary paid people feel like they can treat you like something they have stood in. The hours are long (more than contracted) and this is expected despite the negative impact on the mental health and well-being of staff. After raising a concern about racist behaviour the response was that they didn’t believe that the person involved was racist so I guess that makes their behaviour ok then!,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
427,2021-05-03, Secretary,Current Employee,"London, England, England",3,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,Good,Good food food food good,Long hours long hours long,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
429,2021-05-04, Aldi,"Former Employee, less than 1 year","Stockport, England, England",2,2.0,1.0,3.0,3.0,1.0,1.0,x,r,x,Not great,"Money, learn a lot, wage","Hours, things expected, the way you get trated",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
431,2021-05-04, Store Assistant,"Former Employee, less than 1 year","Liverpool, England, England",3,2.0,3.0,5.0,2.0,3.0,1.0,x,r,r,What you expect really,"ok pay, good location, can be good","managers, hours, sat on tills all day if you arent managers friend",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
433,2021-05-04, Store Assistant,"Former Employee, more than 1 year","Aylesbury, England, England",4,2.0,4.0,4.0,2.0,3.0,4.0,x,r,v,Hard work but makes time fly.,Always busy. Active work. Good team culture.,Customers are ****. Late shifts are awful.,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
435,2021-05-05, Graduate Area Manager,"Former Employee, less than 1 year","Chelmsford, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,r,The worst. Respect yourself more,"The people were mostly nice in the stores,","Too many to list. 
Don't go for this job (at least in Chelmsford region) unless you have many years of experience as a manager. They have no interest in training anyone to do the job. 
I have never experienced gaslighting like I did from my 'mentor', it's really dangerous how they believe it is okay to treat people. 
I don't think I would want to even interact socially with anyone who can make it work at Aldi, it would just raise so many red flags to who they are as a person. 
Please, value and respect yourself more than to be an Area Manager at Aldi.
P.S the salary is NOT good once 11k is deducted for the car for tax, and you realise you're working 60 hours a week.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
437,2021-05-05, Store Assistant,"Former Employee, less than 1 year","Bramley, West Yorkshire, Yorkshire and the Humber, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,x,I'd honestly rather drown than ever step foot in there again,I wish I could give one,Everything else especially the store manager,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
439,2021-05-05, Store Assistant,Current Employee,"Leicester, England, England",3,2.0,2.0,2.0,2.0,2.0,2.0,x,x,x,Okay for a temporary job,Decent hourly pay and okay staff,"Feels like a 0 hour contract , you have to be given 25 hours minimum but you might not even work for those 25 hours",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
441,2021-05-05, Store Manager,"Current Employee, more than 1 year","Coventry, England, England",3,1.0,1.0,2.0,3.0,3.0,2.0,v,r,r,Hard work,Good pay. Hours worked over contract are taken back in loo,Long hours. Unrealistic targets. Made to feel your performance isn't enough,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
443,2021-05-06, Aldi Store Assistant,"Former Employee, less than 1 year","Chelmsford, England, England",3,1.0,4.0,5.0,1.0,1.0,1.0,x,r,x,Logiscitcs,Pay once a month ok,"Like being in School. clock in clock out, set times etc",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
445,2021-05-06, Deputy Manager,"Current Employee, more than 3 years","Worthing, South East England, England, England",4,1.0,4.0,3.0,2.0,1.0,1.0,v,r,v,Hard work for good money,"Good salary, good team, night shift premium","Working times, long hours, my particular store manager",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
447,2021-05-06, Payroll Specialist,Current Employee,"Swindon, Wiltshire, South West England, England, England",4,4.0,4.0,5.0,2.0,5.0,4.0,v,v,v,"Good pay, limited prospects in Admin","Good pay, no managerial hierarchy",No progression in admin roles,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
449,2021-05-06, Sales Assistant,Current Employee,"York, England, England",3,1.0,3.0,1.0,2.0,1.0,2.0,o,o,o,Aldi,Fast pace working environment always busy,Management don’t really listen when.p you need days off,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
451,2021-05-06, Store Assistant,"Current Employee, less than 1 year","London, England, England",4,3.0,4.0,5.0,4.0,4.0,3.0,v,o,v,Good Experience,Have responsibility from day one,Heavy lifting and unsocial hours to start or finish work,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
453,2021-05-07, Marketing Manager,"Current Employee, more than 3 years","London, England, England",4,5.0,4.0,5.0,3.0,3.0,4.0,x,v,v,Pretty good,"Good team, Enjoyable, Interesting, Flexibility, Good brand too ok work for",Disorganised/chaotic at times and lack of ownership,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
455,2021-05-10, Assistant Manager,Current Employee,"Manchester, England, England",3,2.0,3.0,4.0,2.0,4.0,3.0,o,o,o,"Good for the graduates, less options below",Stability of positions and flexibility of shifts,"Work life balance, Options for progression, autonomy",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
457,2021-05-11, Assistant Manager,"Current Employee, more than 5 years","Weymouth, England, England",4,2.0,3.0,5.0,5.0,4.0,4.0,v,v,v,Company been good to me,"Good pay, chances for progression",Can be very long hours,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
459,2021-05-12, Manager,Current Employee,"Shrewsbury, England, England",2,1.0,1.0,1.0,3.0,3.0,1.0,x,r,r,Has some benefits,Fairly well paid with some benefits eg. Money off cinema,Little flexibility for single parents,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
461,2021-05-12, Store Assistant,"Current Employee, less than 1 year","Wolverhampton, England, England",3,2.0,3.0,4.0,3.0,3.0,1.0,o,o,o,Management,"Holiday allowance,Flexible Contracts,Health care benefit","bad management, bad training, not enough staff",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
463,2021-05-13, Aldi Store Assistant,"Former Employee, less than 1 year","Sheffield, England, England",3,1.0,2.0,2.0,3.0,3.0,1.0,x,r,r,Not for everyone,Good money for a supermarket job,Hectic and ntercom is awkward to use,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
465,2021-05-13, Sales Assistant,"Former Employee, more than 3 years","Swansea, Wales, Wales",5,4.0,3.0,3.0,4.0,2.0,3.0,v,v,v,Good company,"Fast paced, good work place banter and flexibility with shifts",Unpredictable hours with 20 hour contracts,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
467,2021-05-13, Store Manager,"Current Employee, more than 8 years","Reading, England, England",3,1.0,5.0,5.0,1.0,5.0,1.0,x,v,v,Never good enough,"Good pay, flexible working and close knit working teams.","KPI’s constantly move with no real explanation as to why, workload is often unmanageable and feedback up the chain is often non existent. Once in as a store manager it’s almost impossible to progress higher.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
469,2021-05-13, Warehouse Picker,"Former Employee, more than 1 year","Darlington, North East England, England, England",3,2.0,4.0,5.0,2.0,4.0,2.0,x,x,x,Average,Good pay and friendly staff,"Be prepared to be worked till you drop,
Very little opportunity to move departments due to favoursm",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
471,2021-05-14, Warehouse Order Picker,"Current Employee, more than 5 years","Neston, North West England, England, England",3,3.0,3.0,3.0,1.0,3.0,2.0,x,r,r,Pay,Get your days to yourself,"Hours are always different, inconsistent",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
473,2021-05-17, Aldi,"Current Employee, more than 3 years","Birmingham, England, England",3,3.0,3.0,4.0,3.0,4.0,3.0,o,o,o,Ok,"Brilliant salary. Organised, efficient comapny",High expectations. Demanding role and targets,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
475,2021-05-17, Sales Assistant,Former Employee,"Prudhoe, England, England",3,1.0,3.0,3.0,3.0,1.0,3.0,x,v,r,Aldi,"always busy, good hourly pay,","quick passed, lots of expectations and assessments, constant monitoring",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
477,2021-05-18, Store Assistant,"Current Employee, less than 1 year","Manchester, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Love Aldi,Friendly people to work with,There is cons for this company,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
479,2021-05-24, Order Picker,"Former Employee, more than 1 year","Queenborough, England, England",2,1.0,1.0,3.0,1.0,2.0,1.0,x,x,x,A,"Beside the pay which is a little bit over the minimum wage, not many pros.","Bossy attitude from management 
Exhausting hours 
No support from management 
No work life balance 
Ridiculous targets and expectations 
No respect for employees 
No safety",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
481,2021-05-26, Manager,"Current Employee, more than 1 year","London, England, England",3,2.0,2.0,4.0,3.0,3.0,3.0,v,r,r,manager,overtime overtime overtime overtime overtime,say goodbye to weekend and evening,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
483,2021-05-26, Payroll Team Leader,Current Employee,"Atherstone, England, England",4,4.0,3.0,5.0,4.0,5.0,4.0,v,o,v,Very fast paced environment,Scope for development within the company,Very fast paced environment with continuous change,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
485,2021-05-28, ASM,"Former Employee, less than 1 year","Crewe, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,r,No freewill or regard for employee rights,None that I can recall,"Pay
Working hours
Lack of respect
Minimal training to fudge KPI's",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
487,2021-05-29, HGV DriverClass1,"Former Employee, more than 3 years","Golborne, England, England",3,2.0,1.0,3.0,2.0,2.0,1.0,x,o,o,Easy job,"Easy work, good bunch of drivers","Bad management, if your good at the job you are given more work load to do for no extra money",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
489,2021-05-31, Retail Store Assistant,"Former Employee, more than 3 years","Southend-on-Sea, England, England",1,1.0,1.0,1.0,1.0,4.0,1.0,x,x,r,Retail store assistant,Good salary and benefits for employees,"Long hours, terrible managers and workload is unbearable",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
491,2021-06-01, Junior Buyer,"Current Employee, more than 3 years","Tamworth, England, England",2,1.0,2.0,1.0,1.0,1.0,1.0,o,o,o,Take take take,Salary is good for area,Unfair work ethics and no help given,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
493,2021-06-02, Area Manager,"Current Employee, more than 3 years","London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great,"Great staff, pay and environment",I don’t think there’s any cons,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
495,2021-06-03, Customer Service,Current Employee,"Edinburgh, Scotland, Scotland",5,2.0,5.0,5.0,5.0,5.0,5.0,v,v,v,FUN,"If you like to work in a busy environment , so good very good for you! :) The people is Amazing, and the pay is good .",Different rotas all the weeks,aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
497,2021-06-03, Store Assistant,Current Employee,"Manchester, England, England",3,3.0,3.0,3.0,3.0,2.0,3.0,o,o,o,"Good pay, hard work.",The pay is pretty decent. I'm a part time student and a part time worker and the hours give me more than enough to live comfortably.,"They will work you hard. Be prepared to do some heavy lifting, to work fast and come home a bit battered and bruised.",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
499,2021-06-03, Store Assistant,"Current Employee, more than 1 year","Glasgow, Scotland, Scotland",2,1.0,2.0,2.0,3.0,2.0,1.0,x,x,x,Store assistant,"Decent pay , plenty of hours , overtime","Over worked, timed on everything you do, other matter not taking into Consideration of your timing like customers asking questions of spillages",aldi,aldine.com,1982.0,printing,1 - 10,"new york, new york, united states",united states,linkedin.com/company/aldine-printing,3,7
500,2020-11-11, Manager,Current Employee,"London, England, England",2,2.0,1.0,1.0,2.0,3.0,1.0,x,x,r,"Succesful in last reforms, but hav'nt moved on","Lots of good, able staff","Difficult to get things done, lots of silio working",aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
503,2020-11-26, Office Administrator,"Former Employee, more than 1 year","Manchester, England, England",1,1.0,2.0,1.0,1.0,1.0,1.0,x,r,x,Students only,Great canteen and great location,Too long to list therefore no,aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
506,2021-01-22, Customer Services,Current Employee,"Manchester, England, England",4,4.0,4.0,4.0,3.0,3.0,5.0,v,v,v,Great company,"Sociable, fair, welcoming lovely people",can feel hard to go to develop,aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
509,2021-01-25, Administration Assistant,"Former Employee, less than 1 year","Manchester, England, England",4,3.0,4.0,5.0,2.0,2.0,3.0,v,o,v,Good atmosphere - Pay average - nice people,It is a very supportive workplace. Fairly laid back,career progression is limited - very confusing internal application process,aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
512,2021-01-27, Payroll Administrator,"Former Employee, less than 1 year","Manchester, England, England",4,5.0,4.0,3.0,4.0,3.0,4.0,v,r,r,Payroll administrator,Best company to work for. Enjoyed my time here,There is no disadvantage working here,aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
515,2021-01-28, Customer Service Advisor,"Former Employee, less than 1 year","Manchester, England, England",5,4.0,4.0,4.0,4.0,4.0,4.0,v,r,v,Great company,"Hours and people, friendly environment","Repetitive, working with markers who weren't very computer literate. Very Frustrating",aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
518,2021-02-25, Customer Services Adviser,"Current Employee, more than 1 year","Manchester, England, England",5,4.0,4.0,5.0,4.0,4.0,4.0,v,v,v,Great place to work,"Helpful team
Friendly environment
Supportive structure
Majority of the customers are friendly","some examiners struggle to use IT
Repetitive",aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
521,2021-02-25, Strategic Human Resources Business Partner,"Current Employee, more than 1 year","Manchester, England, England",5,5.0,5.0,3.0,3.0,4.0,4.0,v,v,r,A fantastic organisation,Looks out for staff welfare; caring; supportive; clear staff communication,"a lot of work to do on the ED&I agenda, but the willingness is there",aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
524,2021-02-26, Project Manager,"Current Employee, more than 1 year","Manchester, England, England",4,5.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Flexible,Flexibility and a relaxed atmosphere,Could have a bigger benefits package,aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
527,2021-03-30, Investigator Compliance,Former Employee,"Guildford, England, England",5,5.0,5.0,5.0,5.0,5.0,3.0,v,v,v,Great place to work,Good knowledgeable staff and training,Was made redundant took a year off,aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
530,2021-04-27, Events Assistant,"Former Employee, less than 1 year","Manchester, England, England",4,5.0,4.0,4.0,4.0,4.0,4.0,o,o,o,nice people,"people are nice, good working environment","nothing negative in particular, so all good",aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
533,2021-05-04, Administrator,"Former Employee, more than 3 years","Manchester, England, England",4,5.0,4.0,4.0,5.0,4.0,4.0,v,o,o,Good working atmosphere,"Great team atmosphere 
Decent training 
Decent paid summer job while at uni
Loads of overtime available","Sometimes a bit boring
Nothing terrible",aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
536,2021-05-11, Resourcing Partner,"Current Employee, more than 3 years","Manchester, England, England",5,4.0,5.0,3.0,3.0,4.0,3.0,v,o,v,Great company to work for,Meaningful work and great benefits,Constant restructures which can limit progression and feel constantly unsettling,aqa,aqa.org.uk,2000.0,education management,1001 - 5000,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/aqa,1088,2866
1312,2020-10-01, Talent Acquisition Business Partner,"Current Employee, less than 1 year","Cambridge, East of England, England, England",5,5.0,5.0,4.0,5.0,5.0,5.0,v,v,v,Brilliant place to work,"- Ambitious growth plans
- Purpose-led
- A lot of investment in key areas of the business and leadership teams
- Fast paced environment but with freedom to think creatively and out of box
- A very grown-up, relaxed and fun working culture
- Flexibility around work/life balance, working from home and have handled the covid crisis brilliantly","Growth plans and pace of work means there’s a lot to do, but you’re given the tools to do it. Less suitable for those that want a slow, steady role/environment",abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
1313,2020-10-14, Research Associate,"Current Employee, more than 3 years","Cambridge, East of England, England, England",3,5.0,5.0,5.0,1.0,3.0,1.0,o,r,r,Great Co-workers,"Wonderful co-workers
Great team spirit
Flexible working opportunities","Low pay 
Chances of promotion low",abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
1314,2020-10-26, Talent Acquisition Partner,"Current Employee, more than 3 years","Cambridge, East of England, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Brilliant opportunities,"The people
Genuinely collaborative across teams
Exciting work and challenges
Management and leaders genuinely care about the teams
Lots of development opportunities
Continuous review of global benefits package and policies to remain competitive and attractive
A strong commitment to diversity and inclusion 
Very clear purpose and strategy with clear and regular communication from leaders
Amazing growth history and future prospects","A lot going on, growing very quickly meaning sometimes hard to keep up with every single change - but that is also part of the fun",abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
1315,2020-10-29, Legal Counsel,"Current Employee, less than 1 year","Cambridge, East of England, England, England",5,5.0,5.0,4.0,4.0,5.0,5.0,v,v,v,Great culture and exciting prospects,"Company is performing well and prospects for future growth are very exciting.
Friendly and welcoming culture, both within my team and across the organisation.
Flexible working.",Nothing of any real concern!,abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
1316,2020-11-03, Anonymous Employee,"Current Employee, more than 3 years","London, England, England",5,5.0,5.0,5.0,5.0,2.0,4.0,v,v,v,the place to be,great work environment - people and culture are a big pro,very very fast paced environment and constantly changing,abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
1317,2020-11-20, Project Coordinator,Current Employee,"Cambridge, East of England, England, England",4,4.0,4.0,4.0,3.0,3.0,3.0,v,v,v,Nice culture have grown a bit fast for the systems to keep up,Friendly culture. Nice office. Free barista coffee. Good share scheme. Fast paced.,Too much driven by excel. Not transparent regarding pay.,abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
1318,2020-12-30, Director,"Current Employee, more than 1 year","Cambridge, East of England, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,"Friendly workforce, flexible working environment and great benefits package",Fast paced and rapidly changing.,abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
1319,2021-01-12, Vice Preident,"Current Employee, more than 5 years","Cambridge, East of England, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Can't beat it,"As the heading says - you can't beat it. this is the place to grow your career where you get given freedom to operate and use your judgement to make real differences in humanity and through scientific progress. This is a successful business, growing fast around the world. It CARES for its people; looking after everyone through the COVID-19 period with full flexibility, keeping everyone employed and no furlough. Also gave everyone (who performed) pay increases. It has an amazing stock plan designed to share the success of the company with its people around the world. Super generous! Join if you like growing.","Not a good place for the indecisive, change adverse or not wanting accountability. If you want a steady career with no growth; go somewhere else.",abcam,abcam.com,1998.0,biotechnology,1001 - 5000,"cambridge, cambridgeshire, united kingdom",united kingdom,linkedin.com/company/abcam,642,1185
